name,overview,id,poster_path,rating,vote_count,adult,director,producer,creator,actors,year_released,genres,keywords,tags,Unnamed: 15,Unnamed: 16
Street Outlaws vs the World,"The quickest and most polarizing Street Outlaws travel abroad to represent their country. As Team USA, they must face stiff, well-known competition from Australia to prove that they are, in fact, the world’s fastest drivers.",236068,https://image.tmdb.org/t/p/w500/kpwWRjlTHxz69ycDMo2O18uFG1L.jpg,10.0,1,False,[],[],[],[],2023,Reality,"['quickest', 'polarizing', 'Street', 'Outlaws', 'travel', 'abroad', 'represent', 'country', 'Team', 'USA', 'face', 'stiff', 'known', 'competition', 'Australia', 'prove', 'fact', 'world', 'fastest', 'drivers']",Reality  quickest polarizing Street Outlaws travel abroad represent country Team USA face stiff known competition Australia prove fact world fastest drivers 10.0    ,,
Pantaxa Laiya,"Eight sexy ladies will make summer even hotter as they bare it all in this newest reality show. Join them as they undergo physical, mental, sensual and sexual challenges that would shape to be the next Vivamax stars.",224566,https://image.tmdb.org/t/p/w500/7Kjk1XofE6lC0LqWPushmVN3odA.jpg,10.0,1,False,[],[],[],[],2023,Reality,"['sexy', 'ladies', 'summer', 'hotter', 'bare', 'newest', 'reality', 'Join', 'undergo', 'physical', 'mental', 'sensual', 'sexual', 'challenges', 'shape', 'Vivamax', 'stars']",Reality  sexy ladies summer hotter bare newest reality Join undergo physical mental sensual sexual challenges shape Vivamax stars 10.0    ,,
The Voice Brasil,"The Voice Brasil is a current Brazilian reality talent show which premiered on Rede Globo on September 23, 2012. Based on the reality singing competition The Voice of Holland, the series was created by Dutch television producer John de Mol.

The show is currently broadcast on Sunday afternoons, before the traditional Sunday soccer matches, in a total of 13 weekly episodes. The season finale aired on December 16, 2012 with Ellen Oléria as winner.",46299,https://image.tmdb.org/t/p/w500/pixFvlKSz3jRE8LBh6DDhy6mnX6.jpg,10.0,1,False,[],[],"['John de Mol', 'Roel van Velzen']",[],2012,Reality,"['Voice', 'Brasil', 'current', 'Brazilian', 'reality', 'talent', 'premiered', 'Rede', 'Globo', 'September', 'Based', 'reality', 'singing', 'competition', 'Voice', 'Holland', 'series', 'created', 'Dutch', 'television', 'producer', 'John', 'de', 'Mol', 'currently', 'broadcast', 'Sunday', 'afternoons', 'traditional', 'Sunday', 'soccer', 'matches', 'total', 'weekly', 'episodes', 'season', 'finale', 'aired', 'December', 'Ellen', 'Oléria', 'winner']",Reality  Voice Brasil current Brazilian reality talent premiered Rede Globo September Based reality singing competition Voice Holland series created Dutch television producer John de Mol currently broadcast Sunday afternoons traditional Sunday soccer matches total weekly episodes season finale aired December Ellen Oléria winner 10.0  John de Mol Roel van Velzen  ,,
Temptation Island (RO),"Couples, temptations and an island full of traps, these are the key elements of the reality show presented by Radu Vâlcan. In the end, only true love can pass the test, and the couples entering the competition will find out if they are connected only by habit or, on the contrary, by sincere and strong feelings. The ultimate test of love and trust will be given by the couples who will return from Thailand totally changed.",62767,https://image.tmdb.org/t/p/w500/7CqOIzIKaBaIzLQjCIcMynZw5Gd.jpg,10.0,2,False,[],[],"['Emilia Vlad', 'Bogdan Oancea']",[],2015,Reality Drama,"['Couples', 'temptations', 'island', 'traps', 'key', 'elements', 'reality', 'presented', 'Radu', 'Vâlcan', 'end', 'true', 'love', 'pass', 'test', 'couples', 'entering', 'competition', 'find', 'connected', 'habit', 'contrary', 'sincere', 'strong', 'feelings', 'ultimate', 'test', 'love', 'trust', 'given', 'couples', 'return', 'Thailand', 'totally', 'changed']",Reality Drama  Couples temptations island traps key elements reality presented Radu Vâlcan end true love pass test couples entering competition find connected habit contrary sincere strong feelings ultimate test love trust given couples return Thailand totally changed 10.0  Emilia Vlad Bogdan Oancea  ,,
La France a un incroyable Talent,"La France a un incroyable talent, previously known as Incroyable Talent is a French television programme, based on the Got Talent series. It debuted on M6 on 2 November 2006, presented by Alessandra Sublet.",19481,https://image.tmdb.org/t/p/w500/yOMACPYpK1Q1GDaOuo4eVv7hULQ.jpg,10.0,1,False,[],[],"['Ken Warwick', 'Cécile Frot-Coutaz', 'Jason Raff']",[],2006,Reality,"['La', 'France', 'un', 'incroyable', 'talent', 'previously', 'known', 'Incroyable', 'Talent', 'French', 'television', 'programme', 'based', 'Got', 'Talent', 'series', 'debuted', 'November', 'presented', 'Alessandra', 'Sublet']",Reality  La France un incroyable talent previously known Incroyable Talent French television programme based Got Talent series debuted November presented Alessandra Sublet 10.0  Ken Warwick Cécile Frot-Coutaz Jason Raff  ,,
Winter House,"Embark on the ultimate winter getaway with some of Bravo’s beloved Summer House and Southern Charm cast members and their friends during a two-week vacation in Stowe, Vermont. Reach new peaks when this rowdy crew kicks off an epic experience filled with hot tub hookups and snowy shenanigans.",135204,https://image.tmdb.org/t/p/w500/ne73A31j1RfKAJMAWNQr4OuFDUX.jpg,10.0,3,False,[],[],[],[],2021,Reality,"['Embark', 'ultimate', 'winter', 'getaway', 'Bravo', 'beloved', 'Summer', 'House', 'Southern', 'Charm', 'cast', 'members', 'friends', 'week', 'vacation', 'Stowe', 'Vermont', 'Reach', 'new', 'peaks', 'rowdy', 'crew', 'kicks', 'epic', 'experience', 'filled', 'hot', 'tub', 'hookups', 'snowy', 'shenanigans']",Reality  Embark ultimate winter getaway Bravo beloved Summer House Southern Charm cast members friends week vacation Stowe Vermont Reach new peaks rowdy crew kicks epic experience filled hot tub hookups snowy shenanigans 10.0    ,,
Midi Première,"Midi Première is a French variety show presented by Danièle Gilbert, directed by Jacques Pierre and broadcast from January 6, 1975 until January 1, 1982 on TF1. The program was generally broadcast between 12:15 p.m. and 12:55 p.m., then giving way to the 1:00 p.m. TV news. However, the broadcast schedule could change, depending on the guests, and the setting where the recording of the program was shot. Certain performances by artists who have become cult like the one where Ringo jostles with a demonstrator in interpretation (1977), that of Dalida with the title There is always a song with the soundtrack that does not start, twice, at the right speed (1978), Claude François and his Clodettes, who, in the provinces, are unable to join ""the set"" in order to interpret his song, the latter being taken by the crowd of delirious fans (summer 1977) . The group Supertramp performed there with the title ""Dreamer"" on March 8, 1975.",112791,https://image.tmdb.org/t/p/w500/iiPXeiJHsljoyl2ZXft8Cf7pLnc.jpg,10.0,1,False,[],[],[],[],1975,Reality,"['Midi', 'Première', 'French', 'variety', 'presented', 'Danièle', 'Gilbert', 'directed', 'Jacques', 'Pierre', 'broadcast', 'January', 'January', 'program', 'generally', 'broadcast', 'giving', 'way', 'TV', 'news', 'broadcast', 'schedule', 'change', 'depending', 'guests', 'setting', 'recording', 'program', 'shot', 'Certain', 'performances', 'artists', 'cult', 'like', 'Ringo', 'jostles', 'demonstrator', 'interpretation', 'Dalida', 'title', 'song', 'soundtrack', 'start', 'twice', 'right', 'speed', 'Claude', 'François', 'Clodettes', 'provinces', 'unable', 'join', 'set', 'order', 'interpret', 'song', 'taken', 'crowd', 'delirious', 'fans', 'summer', 'group', 'Supertramp', 'performed', 'title', 'Dreamer', 'March']",Reality  Midi Première French variety presented Danièle Gilbert directed Jacques Pierre broadcast January January program generally broadcast giving way TV news broadcast schedule change depending guests setting recording program shot Certain performances artists cult like Ringo jostles demonstrator interpretation Dalida title song soundtrack start twice right speed Claude François Clodettes provinces unable join set order interpret song taken crowd delirious fans summer group Supertramp performed title Dreamer March 10.0    ,,
Love Island Games,"In this cheeky new iteration, romance meets reality as fan-favorite Islanders are faced with both team and couples' challenges, all while navigating dating, eliminations, recoupling, dramatic arrivals and new competition twists and turns like never before.",233816,https://image.tmdb.org/t/p/w500/1ACzNV3c4alBW7rUyo51n8uGoJw.jpg,10.0,2,False,[],[],[],[],2023,Reality,"['cheeky', 'new', 'iteration', 'romance', 'meets', 'reality', 'fan', 'favorite', 'Islanders', 'faced', 'team', 'couples', 'challenges', 'navigating', 'dating', 'eliminations', 'recoupling', 'dramatic', 'arrivals', 'new', 'competition', 'twists', 'turns', 'like']",Reality  cheeky new iteration romance meets reality fan favorite Islanders faced team couples challenges navigating dating eliminations recoupling dramatic arrivals new competition twists turns like 10.0    ,,
Arashi ni Shiyagare,"Arashi ni Shiyagare (嵐にしやがれ) (Must Be ARASHI!) is an ongoing Japanese variety show on NTV starring the members of Arashi. The show began on 24 April 2010 and it airs from 10:00 to 10:54 p.m. (JST) every Saturday. It is Arashi's sixth and current variety show to be aired on NTV as well as their third show to be aired during primetime. There will be a male guest, which the members of Arashi addresses as 'Aniki' (Brother), who will teach Arashi different things. The other section, called 'Encounter the Unknown', is where Arashi will pick up new skills, such as interviewing celebrities, learning the tips to climb a mountain, from meeting experienced professionals they usually have not met before.",106410,https://image.tmdb.org/t/p/w500/iUvEfCYJR1KMNpqiqG9ALuHCOTn.jpg,10.0,1,False,[],[],[],[],2010,Comedy Family Talk Reality,"['Arashi', 'ni', 'Shiyagare', '嵐にしやがれ', 'ARASHI', 'ongoing', 'Japanese', 'variety', 'NTV', 'starring', 'members', 'Arashi', 'began', 'April', 'airs', 'JST', 'Saturday', 'Arashi', 'sixth', 'current', 'variety', 'aired', 'NTV', 'aired', 'primetime', 'male', 'guest', 'members', 'Arashi', 'addresses', 'Aniki', 'Brother', 'teach', 'Arashi', 'different', 'things', 'section', 'called', 'Encounter', 'Unknown', 'Arashi', 'pick', 'new', 'skills', 'interviewing', 'celebrities', 'learning', 'tips', 'climb', 'mountain', 'meeting', 'experienced', 'professionals', 'usually', 'met']",Comedy Family Talk Reality  Arashi ni Shiyagare 嵐にしやがれ ARASHI ongoing Japanese variety NTV starring members Arashi began April airs JST Saturday Arashi sixth current variety aired NTV aired primetime male guest members Arashi addresses Aniki Brother teach Arashi different things section called Encounter Unknown Arashi pick new skills interviewing celebrities learning tips climb mountain meeting experienced professionals usually met 10.0    ,,
TO DO X TXT,"The first-ever, original variety show featuring TOMORROW X TOGETHER and their bubbly personalities off the stage!",110195,https://image.tmdb.org/t/p/w500/sQJv6CyPoZXh7gxF8TWYgFEWVIl.jpg,9.8,5,False,[],[],[],[],2020,Reality,"['original', 'variety', 'featuring', 'TOMORROW', 'X', 'bubbly', 'personalities', 'stage']",Reality  original variety featuring TOMORROW X bubbly personalities stage 9.8    ,,
